,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
165,Cdc42,0.9628378378378378,0.7836879432624113,1.2285985080102728,1.6579596996307373,1.0824214220046997,1.7780872583389282,0.0001067736924196,29,[27]
5,Nefm,0.9628378378378378,0.2358156028368794,4.083011583011583,2.1591806411743164,0.2623232007026672,6.6649169921875,6.367567310305491e-23,29,[27]
239,Nrep,0.9628378378378378,0.9184397163120568,1.0483408118543254,2.004666328430176,1.5305936336517334,1.606523871421814,0.0015969082987045,29,[27]
240,2010107E04Rik,0.9594594594594594,0.8723404255319149,1.0998681608437706,1.7639137506484983,1.290290355682373,1.605802059173584,0.0016325112876984,29,[27]
159,Cox6a1,0.9594594594594594,0.8191489361702128,1.1712881712881713,1.7064629793167114,1.1262251138687134,1.7864633798599243,5.8209822391584456e-05,29,[27]
77,Slc25a4,0.9594594594594594,0.8475177304964538,1.1320818726676467,1.920147180557251,1.1799956560134888,2.0962531566619877,7.691176993893737e-09,29,[27]
131,Tmsb10,0.956081081081081,0.9184397163120568,1.0409840342272774,1.9287238121032717,1.3549654483795166,1.7749252319335938,4.911122762069774e-06,29,[27]
283,Atp5f1,0.956081081081081,0.8634751773049646,1.107247904989178,1.7512668371200562,1.308112859725952,1.5576121807098389,0.0051596972188679,29,[27]
314,Cox7a2,0.9527027027027029,0.8865248226950354,1.0746486486486488,1.749935507774353,1.3296984434127808,1.5223222970962524,0.0093939663886983,29,[27]
127,Nme1,0.9527027027027029,0.8120567375886525,1.173197214681931,1.667428731918335,1.053189039230347,1.8482507467269895,3.2163161395593846e-06,29,[27]
92,Dbi,0.9493243243243245,0.7322695035460993,1.296413847261305,1.8089003562927248,1.041271090507507,2.1546521186828613,6.65632629366202e-08,29,[27]
170,Mdh2,0.945945945945946,0.874113475177305,1.082177512197796,1.6917312145233154,1.1962218284606934,1.641334056854248,0.0001250020305507,29,[27]
23,Syt11,0.9425675675675677,0.5159574468085106,1.826831986625801,1.7061232328414917,0.5658899545669556,3.127497911453247,1.276265048014562e-16,29,[27]
15,Rab6b,0.9358108108108107,0.3386524822695035,2.7633366350643835,1.6014184951782229,0.3567616939544678,3.471742868423462,2.183974900120723e-18,29,[27]
226,Pitpna,0.9324324324324323,0.8226950354609929,1.1333876980428703,1.5339027643203735,1.0662884712219238,1.5961815118789673,0.0010168439416624,29,[27]
61,Pafah1b1,0.9324324324324323,0.6542553191489362,1.4251812788398155,1.5807548761367798,0.7850935459136963,2.215905904769897,4.4396224729891774e-10,29,[27]
154,Ywhab,0.9324324324324323,0.7624113475177305,1.2230043997485858,1.5913939476013184,1.0080535411834717,1.792014479637146,4.749061964449038e-05,29,[27]
64,Anxa2,0.9324324324324323,0.7570921985815603,1.2315969365149693,1.739458441734314,0.9453776478767396,2.2124063968658447,7.95257908287422e-10,29,[27]
36,Rtn3,0.9324324324324323,0.6436170212765957,1.4487379941925398,1.8111604452133176,0.7635595798492432,2.850803136825561,5.696859919773844e-14,29,[27]
17,Snhg11,0.929054054054054,0.4326241134751773,2.147485600354453,1.6375417709350586,0.4379542171955108,3.3187479972839355,7.94557774269103e-18,29,[27]
33,Crmp1,0.929054054054054,0.5656028368794326,1.6425908667287978,1.619645595550537,0.6204221248626709,2.716171741485596,7.064309814979884e-15,29,[27]
218,Ssh2,0.929054054054054,0.8102836879432624,1.1465787450470164,1.5041258335113523,1.0501126050949097,1.5746188163757324,0.000828553071471,29,[27]
367,Hint1,0.929054054054054,0.824468085106383,1.1268526591107235,1.6095372438430786,1.1897573471069336,1.521626591682434,0.0230253881854916,29,[27]
