Unnamed: 0,combined_pvalue,adjusted_pvalue,genes
593,2846,0.0014382421832388,0.0286266200405011,DEGS1
594,2849,0.0003574565552195,0.0076359156167118,CNIH4
596,2857,8.881784197001249e-16,3.9503158757177104e-14,ENAH
598,2860,8.881784197001249e-16,3.9503158757177104e-14,EPHX1
599,2862,5.55e-17,3.0053560136053704e-15,TMEM63A
600,2865,6.08983148353559e-08,1.8052631014166e-06,PYCR2
601,2869,5.55e-17,3.0053560136053704e-15,H3F3A
603,2875,9.85878045867139e-14,4.00925584764823e-12,PARP1
604,2876,2.37055375329476e-10,8.151760953368951e-09,STUM
605,2877,5.55e-17,3.0053560136053704e-15,ITPKB
609,2893,1.15768598465404e-05,0.0002879839436217,ARF1
612,2896,2.77706746487638e-10,9.49104369259555e-09,GUK1
613,2897,5.55e-17,3.0053560136053704e-15,GJC2
614,2913,1.11022302462516e-16,5.3329264322189e-15,RNF187
615,2914,5.55e-17,3.0053560136053704e-15,RHOU
619,2931,2.44508518275621e-05,0.0005904869340056,GALNT2
620,2934,0.0001452209459755,0.0032626385064744,PGBD5
621,2938,5.55e-17,3.0053560136053704e-15,AGT
622,2942,5.55e-17,3.0053560136053704e-15,C1orf198
627,2961,2.25594480083302e-05,0.0005458858932216,SIPA1L2
629,2966,1.22380224609753e-06,3.31055167317927e-05,PCNX2
630,2968,4.72121474430764e-05,0.0011125333097957,KCNK1
633,2979,5.55e-17,3.0053560136053704e-15,IRF2BP2
634,2994,0.0001066271373089,0.0024186305433127,TOMM20
635,2996,0.0001901349886037,0.0042141812306325,ARID4B
639,3019,1.78525287182207e-05,0.0004349106218601,RYR2
640,3027,1.23582144517798e-10,4.317569714703921e-09,CHRM3
642,3038,1.11022302462516e-16,5.3329264322189e-15,RGS7
644,3042,1.47437617670221e-13,5.94842624178725e-12,OPN3
648,3056,3.42138988584928e-06,8.90525146726731e-05,AKT3
649,3059,5.55e-17,3.0053560136053704e-15,ZBTB18
652,3070,3.47730411132119e-09,1.11325140417043e-07,HNRNPU
654,3083,1.78823759133806e-08,5.50071960519336e-07,CNST
655,3086,2.14231359318973e-08,6.55366922321224e-07,SCCPDH
660,3190,2.2204460492503099e-16,1.00733054830801e-14,MYT1L
663,3205,1.96591700696302e-08,6.03212302488835e-07,ADI1
664,3211,5.55e-17,3.0053560136053704e-15,RPS7
665,3234,2.06384398242498e-05,0.0005001924925922,RNF144A
668,3249,0.0001446530509241,0.003251072383108,MBOAT2
670,3254,9.67363551707123e-07,2.64252837484522e-05,ITGB1BP1
672,3260,5.55e-17,3.0053560136053704e-15,YWHAQ
673,3277,5.55e-17,3.0053560136053704e-15,HPCAL1
676,3290,2.2204460492503099e-16,1.00733054830801e-14,KCNF1
677,3294,1.7109309524698801e-09,5.60646001859523e-08,ROCK2
678,3300,1.37395485322322e-07,3.96545138999382e-06,NTSR2
680,3308,1.43063982416258e-06,3.84460328395949e-05,TRIB2
681,3313,5.55e-17,3.0053560136053704e-15,FAM84A
683,3317,1.56196831246902e-07,4.48483956000128e-06,DDX1
684,3334,8.04911692853238e-14,3.2886083194011698e-12,FAM49A
685,3338,5.55e-17,3.0053560136053704e-15,VSNL1
687,3359,0.0022874762410158,0.0443338101231187,LAPTM4A
689,3364,5.55e-17,3.0053560136053704e-15,RHOB
690,3397,0.002517307629507,0.0484508794342762,FKBP1B
691,3398,1.33226762955019e-15,5.88275230086152e-14,SF3B6
696,3415,1.6286971771251e-11,5.99449454446096e-10,EFR3B
698,3423,5.55e-17,3.0053560136053704e-15,KIF3C
700,3426,1.11022302462516e-14,4.72186194519382e-13,HADHA
701,3427,5.55e-17,3.0053560136053704e-15,HADHB
703,3435,1.11022302462516e-15,4.91291994297623e-14,KCNK3
704,3436,0.000312836166934,0.0067320542620135,SLC35F6
705,3438,5.55e-17,3.0053560136053704e-15,DPYSL5
706,3440,1.23561716414144e-09,4.08168748939319e-08,MAPRE3
707,3446,4.00982116566251e-06,0.0001037071867683,OST4
708,3449,5.7412963272440696e-12,2.16515745906037e-10,CGREF1
710,3455,0.0012421311976458,0.0248605991366977,ATRAID
711,3457,5.55e-17,3.0053560136053704e-15,SLC30A3
716,3469,0.0012786224446461,0.0255492050833181,NRBP1
717,3472,1.11022302462516e-16,5.3329264322189e-15,FNDC4
722,3481,5.0959236830294704e-14,2.10165782578809e-12,MRPL33
724,3486,4.04712798829365e-08,1.21680632220628e-06,FOSL2
728,3513,4.44089209850063e-15,1.92347417286538e-13,EHD3
730,3526,0.0001906262144295,0.004222338384972,YIPF4
732,3536,7.85256235666942e-05,0.0018086669554317,FAM98A
733,3545,2.95916204873237e-08,9.02099328108177e-07,AC009414.2
734,3546,0.0001543938480463,0.0034560454568335,CRIM1
736,3550,1.11022302462516e-16,5.3329264322189e-15,STRN
744,3590,1.23392152273638e-07,3.5781551947422e-06,TMEM178A
745,3593,7.72715225139109e-12,2.88739409148936e-10,SLC8A1
748,3611,1.11022302462516e-16,5.3329264322189e-15,ZFP36L2
751,3622,0.0005621817270089,0.0117630393673078,PPM1B
752,3624,5.55e-17,3.0053560136053704e-15,PREPL
753,3634,2.88657986402541e-15,1.25916318538502e-13,PRKCE
754,3638,0.0008047211525562,0.0164886481111212,EPAS1
756,3647,9.49353580192991e-08,2.77132880789707e-06,CRIPT
759,3661,5.55e-17,3.0053560136053704e-15,CALM2
761,3666,6.93127328865728e-08,2.04480181097307e-06,KCNK12
763,3674,3.02833887744214e-06,7.92261598559517e-05,PPP1R21
764,3684,5.55e-17,3.0053560136053704e-15,NRXN1
766,3697,1.32475205227855e-06,3.57101620946655e-05,ACYP2
767,3701,8.14159691886474e-08,2.38805678968464e-06,SPTBN1
768,3707,5.55e-17,3.0053560136053704e-15,RTN4
